FW_TILED_PARALLEL_TASKS,2048,512,25.4105
FW_TILED_PARALLEL_TASKS,2048,256,21.2904
FW_TILED_PARALLEL_TASKS,2048,128,21.6433
FW_TILED_PARALLEL_TASKS,2048,64,29.8016
FW_SR_SECTIONS,2048,1024,7.5117
FW_SR_SECTIONS,2048,512,5.1586
FW_SR_SECTIONS,2048,256,4.1315
FW_SR_SECTIONS,2048,128,3.5058
FW_SR_SECTIONS,2048,64,3.4097
FW_SR_TASKS,2048,1024,7.5019
FW_SR_TASKS,2048,512,4.8236
FW_SR_TASKS,2048,256,3.3741
FW_SR_TASKS,2048,128,2.4403
FW_SR_TASKS,2048,64,2.0201
FW,4096,109.4817
FW_SR,4096,2048,80.3220
FW_SR,4096,1024,53.7389
FW_SR,4096,512,48.4879
FW_SR,4096,256,51.1864
FW_SR,4096,128,43.2156
FW_SR,4096,64,49.1404
FW_TILED,4096,2048,81.4848
FW_TILED,4096,1024,54.0303
FW_TILED,4096,512,48.3068
FW_TILED,4096,256,50.4880
FW_TILED,4096,128,42.5809
FW_TILED,4096,64,47.3048
FW_TILED_PARALLEL_FOR,4096,2048,109.1124
FW_TILED_PARALLEL_FOR,4096,1024,44.1747
FW_TILED_PARALLEL_FOR,4096,512,19.9288
FW_TILED_PARALLEL_FOR,4096,256,12.1807
FW_TILED_PARALLEL_FOR,4096,128,7.5993
FW_TILED_PARALLEL_FOR,4096,64,6.9595
FW_TILED_PARALLEL_TASKS,4096,2048,206.2706
FW_TILED_PARALLEL_TASKS,4096,1024,157.5704
FW_TILED_PARALLEL_TASKS,4096,512,115.7514
FW_TILED_PARALLEL_TASKS,4096,256,112.1999
FW_TILED_PARALLEL_TASKS,4096,128,135.1385
FW_TILED_PARALLEL_TASKS,4096,64,210.4483
FW_SR_SECTIONS,4096,2048,74.2952
FW_SR_SECTIONS,4096,1024,39.7137
FW_SR_SECTIONS,4096,512,31.0317
FW_SR_SECTIONS,4096,256,29.3191
FW_SR_SECTIONS,4096,128,24.4597
FW_SR_SECTIONS,4096,64,25.7045
FW_SR_TASKS,4096,2048,68.2684
FW_SR_TASKS,4096,1024,37.2035
FW_SR_TASKS,4096,512,25.2326
FW_SR_TASKS,4096,256,19.4258
FW_SR_TASKS,4096,128,13.9453
FW_SR_TASKS,4096,64,12.6578
threads,16
FW,1024,1.5720
FW_SR,1024,512,1.1015
FW_SR,1024,256,0.9083
FW_SR,1024,128,0.7590
FW_SR,1024,64,0.7781
FW_TILED,1024,512,1.1223
FW_TILED,1024,256,0.9074
FW_TILED,1024,128,0.7615
FW_TILED,1024,64,0.7494
FW_TILED_PARALLEL_FOR,1024,512,2.4380
FW_TILED_PARALLEL_FOR,1024,256,1.0829
FW_TILED_PARALLEL_FOR,1024,128,0.4962
FW_TILED_PARALLEL_FOR,1024,64,0.2289
FW_TILED_PARALLEL_TASKS,1024,512,5.8422
FW_TILED_PARALLEL_TASKS,1024,256,5.6303
FW_TILED_PARALLEL_TASKS,1024,128,4.9207
FW_TILED_PARALLEL_TASKS,1024,64,5.3507
FW_SR_SECTIONS,1024,512,0.9597
FW_SR_SECTIONS,1024,256,0.6728
FW_SR_SECTIONS,1024,128,0.5780
FW_SR_SECTIONS,1024,64,0.4599
FW_SR_TASKS,1024,512,0.9524
FW_SR_TASKS,1024,256,0.6310
FW_SR_TASKS,1024,128,0.4369
FW_SR_TASKS,1024,64,0.3342
FW,2048,13.2925
FW_SR,2048,1024,8.6613
FW_SR,2048,512,6.9800
FW_SR,2048,256,6.3986
FW_SR,2048,128,5.6045
FW_SR,2048,64,6.1339
FW_TILED,2048,1024,8.8477
FW_TILED,2048,512,7.0112
FW_TILED,2048,256,6.3356
FW_TILED,2048,128,5.5922
FW_TILED,2048,64,5.9110
FW_TILED_PARALLEL_FOR,2048,1024,15.4090
FW_TILED_PARALLEL_FOR,2048,512,7.1681
FW_TILED_PARALLEL_FOR,2048,256,3.1882
FW_TILED_PARALLEL_FOR,2048,128,1.4068
FW_TILED_PARALLEL_FOR,2048,64,0.8797
FW_TILED_PARALLEL_TASKS,2048,1024,35.1780
FW_TILED_PARALLEL_TASKS,2048,512,36.9200
FW_TILED_PARALLEL_TASKS,2048,256,32.1109
FW_TILED_PARALLEL_TASKS,2048,128,28.1595
FW_TILED_PARALLEL_TASKS,2048,64,36.2820
FW_SR_SECTIONS,2048,1024,7.5306
FW_SR_SECTIONS,2048,512,5.1418
FW_SR_SECTIONS,2048,256,4.0980
FW_SR_SECTIONS,2048,128,3.5642
FW_SR_SECTIONS,2048,64,3.4755
FW_SR_TASKS,2048,1024,7.5071
FW_SR_TASKS,2048,512,4.8258
FW_SR_TASKS,2048,256,3.3433
FW_SR_TASKS,2048,128,2.4247
FW_SR_TASKS,2048,64,1.9753
FW,4096,109.5201
FW_SR,4096,2048,80.3438
FW_SR,4096,1024,53.7116
FW_SR,4096,512,48.4828
FW_SR,4096,256,51.1551
FW_SR,4096,128,43.3007
FW_SR,4096,64,48.7999
FW_TILED,4096,2048,81.5206
FW_TILED,4096,1024,54.0341
FW_TILED,4096,512,48.3113
FW_TILED,4096,256,50.4711
FW_TILED,4096,128,42.6066
FW_TILED,4096,64,47.2911
FW_TILED_PARALLEL_FOR,4096,2048,163.1900
FW_TILED_PARALLEL_FOR,4096,1024,46.2340
FW_TILED_PARALLEL_FOR,4096,512,20.7949
FW_TILED_PARALLEL_FOR,4096,256,10.2124
FW_TILED_PARALLEL_FOR,4096,128,5.5320
FW_TILED_PARALLEL_FOR,4096,64,4.3187
FW_TILED_PARALLEL_TASKS,4096,2048,223.5865
FW_TILED_PARALLEL_TASKS,4096,1024,218.0174
FW_TILED_PARALLEL_TASKS,4096,512,155.9264
FW_TILED_PARALLEL_TASKS,4096,256,166.1126
FW_TILED_PARALLEL_TASKS,4096,128,187.0958
FW_TILED_PARALLEL_TASKS,4096,64,242.2795
FW_SR_SECTIONS,4096,2048,75.5040
FW_SR_SECTIONS,4096,1024,39.8578
FW_SR_SECTIONS,4096,512,30.8944
FW_SR_SECTIONS,4096,256,29.3636
FW_SR_SECTIONS,4096,128,24.4278
FW_SR_SECTIONS,4096,64,25.7569
FW_SR_TASKS,4096,2048,68.2316
FW_SR_TASKS,4096,1024,37.2017
FW_SR_TASKS,4096,512,25.2566
FW_SR_TASKS,4096,256,19.3884
FW_SR_TASKS,4096,128,13.5287
FW_SR_TASKS,4096,64,11.4726
threads,32
FW,1024,1.5723
FW_SR,1024,512,1.1017
FW_SR,1024,256,0.9085
FW_SR,1024,128,0.7594
FW_SR,1024,64,0.7779
FW_TILED,1024,512,1.1225
FW_TILED,1024,256,0.9071
FW_TILED,1024,128,0.7612
FW_TILED,1024,64,0.7499
FW_TILED_PARALLEL_FOR,1024,512,2.8786
FW_TILED_PARALLEL_FOR,1024,256,1.2943
FW_TILED_PARALLEL_FOR,1024,128,0.6267
FW_TILED_PARALLEL_FOR,1024,64,0.4095
FW_TILED_PARALLEL_TASKS,1024,512,7.3035
FW_TILED_PARALLEL_TASKS,1024,256,7.9753
FW_TILED_PARALLEL_TASKS,1024,128,6.7654
FW_TILED_PARALLEL_TASKS,1024,64,6.3512
FW_SR_SECTIONS,1024,512,0.9799
FW_SR_SECTIONS,1024,256,0.6757
FW_SR_SECTIONS,1024,128,0.5642
FW_SR_SECTIONS,1024,64,0.4974
FW_SR_TASKS,1024,512,0.9610
FW_SR_TASKS,1024,256,0.6314
FW_SR_TASKS,1024,128,0.4627
FW_SR_TASKS,1024,64,0.4315
FW,2048,13.2473
FW_SR,2048,1024,8.6603
FW_SR,2048,512,6.9750
FW_SR,2048,256,6.4000
FW_SR,2048,128,5.6141
FW_SR,2048,64,6.1310
FW_TILED,2048,1024,8.8333
FW_TILED,2048,512,7.0097
FW_TILED,2048,256,6.3333
FW_TILED,2048,128,5.5956
FW_TILED,2048,64,5.9109
FW_TILED_PARALLEL_FOR,2048,1024,16.8988
FW_TILED_PARALLEL_FOR,2048,512,7.7470
FW_TILED_PARALLEL_FOR,2048,256,3.6031
FW_TILED_PARALLEL_FOR,2048,128,1.7622
FW_TILED_PARALLEL_FOR,2048,64,1.0424
FW_TILED_PARALLEL_TASKS,2048,1024,40.2330
FW_TILED_PARALLEL_TASKS,2048,512,46.5913
FW_TILED_PARALLEL_TASKS,2048,256,42.7682
FW_TILED_PARALLEL_TASKS,2048,128,35.5052
FW_TILED_PARALLEL_TASKS,2048,64,41.7310
FW_SR_SECTIONS,2048,1024,7.5898
FW_SR_SECTIONS,2048,512,5.1406
FW_SR_SECTIONS,2048,256,4.0912
FW_SR_SECTIONS,2048,128,3.7417
FW_SR_SECTIONS,2048,64,3.4951
FW_SR_TASKS,2048,1024,7.5280
FW_SR_TASKS,2048,512,4.8329
FW_SR_TASKS,2048,256,3.3479
FW_SR_TASKS,2048,128,2.5525
FW_SR_TASKS,2048,64,2.3567
FW,4096,109.4776
FW_SR,4096,2048,80.1858
FW_SR,4096,1024,53.6616
FW_SR,4096,512,48.4557
FW_SR,4096,256,51.1434
FW_SR,4096,128,43.2975
FW_SR,4096,64,48.7997
FW_TILED,4096,2048,81.4166
FW_TILED,4096,1024,53.9804
FW_TILED,4096,512,48.2863
FW_TILED,4096,256,50.4841
FW_TILED,4096,128,42.5750
FW_TILED,4096,64,47.2949
FW_TILED_PARALLEL_FOR,4096,2048,154.1595
FW_TILED_PARALLEL_FOR,4096,1024,49.4339
FW_TILED_PARALLEL_FOR,4096,512,22.1771
FW_TILED_PARALLEL_FOR,4096,256,11.1591
FW_TILED_PARALLEL_FOR,4096,128,5.3975
FW_TILED_PARALLEL_FOR,4096,64,4.2552
FW_TILED_PARALLEL_TASKS,4096,2048,253.7934
FW_TILED_PARALLEL_TASKS,4096,1024,277.6442
FW_TILED_PARALLEL_TASKS,4096,512,201.0970
FW_TILED_PARALLEL_TASKS,4096,256,205.2778
FW_TILED_PARALLEL_TASKS,4096,128,198.5225
FW_TILED_PARALLEL_TASKS,4096,64,267.4339
FW_SR_SECTIONS,4096,2048,79.0945
FW_SR_SECTIONS,4096,1024,39.9708
FW_SR_SECTIONS,4096,512,30.9566
FW_SR_SECTIONS,4096,256,29.2915
FW_SR_SECTIONS,4096,128,24.8352
FW_SR_SECTIONS,4096,64,25.9934
FW_SR_TASKS,4096,2048,68.4158
FW_SR_TASKS,4096,1024,37.3196
FW_SR_TASKS,4096,512,25.2577
FW_SR_TASKS,4096,256,19.4491
FW_SR_TASKS,4096,128,14.2847
FW_SR_TASKS,4096,64,13.0946
threads,64
FW,1024,1.5717
FW_SR,1024,512,1.1017
FW_SR,1024,256,0.9085
FW_SR,1024,128,0.7592
FW_SR,1024,64,0.7774
FW_TILED,1024,512,1.1225
FW_TILED,1024,256,0.9181
FW_TILED,1024,128,0.7598
FW_TILED,1024,64,0.7493
FW_TILED_PARALLEL_FOR,1024,512,3.8319
FW_TILED_PARALLEL_FOR,1024,256,1.9120
FW_TILED_PARALLEL_FOR,1024,128,1.1768
FW_TILED_PARALLEL_FOR,1024,64,0.7809
FW_TILED_PARALLEL_TASKS,1024,512,9.8828
FW_TILED_PARALLEL_TASKS,1024,256,13.8935
FW_TILED_PARALLEL_TASKS,1024,128,12.6820
FW_TILED_PARALLEL_TASKS,1024,64,12.4098
FW_SR_SECTIONS,1024,512,0.9864
FW_SR_SECTIONS,1024,256,0.7068
FW_SR_SECTIONS,1024,128,0.6257
FW_SR_SECTIONS,1024,64,0.6755
FW_SR_TASKS,1024,512,0.9652
FW_SR_TASKS,1024,256,0.6739
FW_SR_TASKS,1024,128,0.4607
FW_SR_TASKS,1024,64,0.6246
FW,2048,13.2870
FW_SR,2048,1024,8.6656
FW_SR,2048,512,6.9798
FW_SR,2048,256,6.4010
FW_SR,2048,128,5.6201
FW_SR,2048,64,6.1326
FW_TILED,2048,1024,8.8513
FW_TILED,2048,512,7.0114
FW_TILED,2048,256,6.3342
FW_TILED,2048,128,5.5948
FW_TILED,2048,64,5.9097
FW_TILED_PARALLEL_FOR,2048,1024,20.9993
FW_TILED_PARALLEL_FOR,2048,512,9.7614
FW_TILED_PARALLEL_FOR,2048,256,4.6982
FW_TILED_PARALLEL_FOR,2048,128,2.7097
FW_TILED_PARALLEL_FOR,2048,64,1.8313
FW_TILED_PARALLEL_TASKS,2048,1024,49.6073
FW_TILED_PARALLEL_TASKS,2048,512,77.8169
FW_TILED_PARALLEL_TASKS,2048,256,77.5334
FW_TILED_PARALLEL_TASKS,2048,128,60.7128
FW_TILED_PARALLEL_TASKS,2048,64,52.9392
FW_SR_SECTIONS,2048,1024,7.5860
FW_SR_SECTIONS,2048,512,5.1837
FW_SR_SECTIONS,2048,256,4.3009
FW_SR_SECTIONS,2048,128,3.9898
FW_SR_SECTIONS,2048,64,4.3117
FW_SR_TASKS,2048,1024,7.5491
FW_SR_TASKS,2048,512,4.8935
FW_SR_TASKS,2048,256,3.4456
FW_SR_TASKS,2048,128,2.6688
FW_SR_TASKS,2048,64,3.2681
FW,4096,109.4784
FW_SR,4096,2048,80.1480
FW_SR,4096,1024,53.7421
FW_SR,4096,512,48.4760
FW_SR,4096,256,51.1502
FW_SR,4096,128,43.2915
FW_SR,4096,64,48.7896
FW_TILED,4096,2048,81.5388
FW_TILED,4096,1024,54.0454
FW_TILED,4096,512,48.3017
FW_TILED,4096,256,50.4678
FW_TILED,4096,128,42.5977
FW_TILED,4096,64,47.2766
FW_TILED_PARALLEL_FOR,4096,2048,160.5525
FW_TILED_PARALLEL_FOR,4096,1024,58.5260
FW_TILED_PARALLEL_FOR,4096,512,26.1072
FW_TILED_PARALLEL_FOR,4096,256,13.2751
FW_TILED_PARALLEL_FOR,4096,128,7.4155
